CustGender,CustLocation,Age,CustAccountBalance
M,MOHALI,41,48429.49
M,AHMEDABAD,45,32274.78
M,KOTA,32,282455.64
M,AGRA,29,2502.74
M,PUNE,32,250.26
F,BATHINDA,33,2988.21
M,OFF CUBBON ROAD BANGALORE,38,241139.36
F,GHAZIABAD,38,35790.14
M,PUNE,32,29436.97
F,BANGALORE,38,43375.42
M,NEW DELHI,34,407935.95
M,DELHI,34,556731.79
M,THANE,51,17920.6
M,NEW DELHI,44,26413.93
F,KERALA,57,801229.49
M,SURAT,57,5407.86
M,MUMBAI,34,344.25
F,ROURKELA,36,167.1
M,JALANDHAR,29,155684.44
F,DELHI,33,17555.91
M,BAGHPAT,24,10266.36
M,GURGAON,30,10016.68
F,RAJPURA,41,28012.42
M,GURGAON,51,30809.31
F,GHAZIABAD,34,25471.44
M,LUCKNOW,40,951.07
M,RAIGAD,31,9464.85
M,BANGALORE,48,541701.53
M,MUMBAI,42,22.81
M,RAI SONEPAT,37,6826.87
M,BANGALORE NORTH,28,8451.61
F,UDUPI,31,2717.23
M,CHENNAI,42,32651.06
M,ROHTAK,28,43575.38
M,SURAT,43,26374.46
F,PUNE,38,294839.25
M,AHMEDNAGAR,42,1305.9
M,FARIDABAD,37,2048.45
M,DELHI,29,829.83
M,MUMBAI,39,42870.63
M,BANGALORE,32,2918.25
F,AHMEDABAD,46,14132.92
M,BANGALORE,36,3835.87
F,MUMBAI,44,10087.29
F,BANGALORE,35,1057.77
F,CHENNAI,18,6661.03
M,JAMMU,45,647135.07
F,GURGAON,34,297.49
M,RAIPUR,29,9929.14
M,BANGALORE,32,47016.0
M,LUCKNOW,26,14858.06
F,DELHI,36,12868.45
M,NEW DELHI,25,166.83
F,PANVEL,38,386.27
M,INDORE,47,422.26
M,DELHI,35,662.21
M,BANGALORE,32,9890.44
M,NEW DELHI,43,0.07
M,VADODARA,33,50003.39
F,AGRA,33,17378.0
F,INDORE,38,57223.95
M,MUMBAI,33,43555.05
M,AMBALA,72,407051.95
M,BANGALORE,31,1811.03
M,BANGALORE,38,13886.47
M,BANGALORE,30,1631.51
M,TRIVANDRUM,62,31.12
M,GANJAM,28,5635.18
M,CHANDIGARH,36,1839.82
M,KANNAD,37,93654.64
M,VELLORE,45,1907.42
F,GURGAON,43,1307115.42
M,GURGAON,33,280237.87
M,VADODARA,30,39.62
M,GHAZIABAD,34,9144.66
F,GURGAON,30,7087.18
M,NOIDA,39,907860.31
M,AURANGABAD,34,41836.46
